y,x,twi,tri,spi,slope,water_distance,profile_curvature,plan_curvature,ndvi_2019,hillshade,geologia,dusaf,aspect,dtm_milan,geo_0,geo_1,geo_2,geo_3,geo_4,geo_5,geo_6,lc_11,lc_12,lc_14,lc_21,lc_22,lc_23,lc_31,lc_32,lc_33,lc_41,lc_51,flooded
5039382.5,515402.5,11.314597,0.20790952,2.6218362,0.7509984,155.08063,-0.040885236,-0.2449868,0.34942818,178.0,1,11,155.19504,130.236,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037492.5,515337.5,10.050883,1.0056161,4.5918984,3.764643,297.02695,-2.0725853,-1.6765894,0.3585132,174.0,1,11,191.83878,125.193,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5048407.5,512217.5,6.623458,0.825304,-10.312526,1.9027064,55.226803,1.2803504,-0.07145624,0.68340504,178.0,1,31,74.104126,173.167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2014.0
5037467.5,514832.5,6.165024,3.6016948,2.0643158,8.957557,745.82166,10.411605,-2.0323956,0.115957186,206.0,1,11,307.68036,121.905,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039862.5,515387.5,6.2301393,0.6807582,-9.919208,2.8183649,93.40771,-0.49654967,-0.49258238,0.41414672,181.0,1,11,42.404736,133.012,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037597.5,514997.5,6.207503,1.6743498,-9.896571,2.882782,569.7587,-2.0129552,-1.0610205,0.101391636,180.0,1,11,48.9057,125.477,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039207.5,515827.5,8.733615,0.16439277,-12.422683,0.23072757,404.04208,0.61198574,-0.30006263,0.26058754,181.0,1,11,241.85217,129.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037902.5,514982.5,8.724341,0.3830772,-0.49499843,0.6986011,605.57825,1.1365681,-0.85949516,0.05851064,182.0,1,11,352.93768,125.961,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037577.5,514997.5,7.691035,0.24186513,-11.380102,0.6544402,573.7813,0.19579962,-0.5241711,0.19331393,181.0,1,12,241.35167,125.249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5038922.5,515667.5,4.433932,7.2924724,2.696777,30.684341,145.0,-0.73437274,4.021609,0.51958895,223.0,1,12,357.51028,131.853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037762.5,515547.5,7.4394603,0.20644467,-11.128529,0.8416177,29.154758,-0.06503415,0.17489505,0.34511784,179.0,1,12,197.94374,125.074,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5038352.5,515862.5,15.049531,0.51623523,5.9693003,0.61171377,206.51877,1.2000803,-1.0358511,0.15010008,182.0,1,11,294.0448,126.689,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039107.5,514837.5,7.5027566,0.4747892,-11.191825,0.7900042,364.1772,-1.1871544,0.5768837,0.6078942,180.0,1,14,70.510376,131.461,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037567.5,515802.5,8.529094,0.53815377,-12.218162,0.2830877,40.311287,-1.5225915,1.1534644,0.07167626,181.0,1,11,234.0715,125.746,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039877.5,515242.5,6.7540183,0.40179348,-10.443087,1.6699628,36.40055,0.20292284,0.2829399,0.1723471,183.0,1,11,15.820587,132.578,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039122.5,514932.5,7.5485787,0.16559534,-11.237647,0.75462544,268.00186,-0.082417704,0.033671163,0.40373284,180.0,1,14,58.665146,130.621,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039992.5,515592.5,10.3861265,0.31890482,-0.2108872,0.3093991,327.29956,1.133898,-1.0220468,0.1952979,180.0,1,12,180.0,132.914,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5037952.5,514587.5,7.5786333,0.25322378,-11.267701,0.73228556,999.24976,0.093566395,0.17752026,0.17323774,178.0,1,11,150.72981,127.239,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5038242.5,515012.5,8.941334,0.14443335,-12.630402,0.18745172,600.0208,-0.1199646,-0.16003418,0.20924853,181.0,1,11,308.79962,127.352,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
5039537.5,515437.5,8.017951,0.20790681,-11.707019,0.47195533,136.01471,-0.26138753,0.66268474,0.4755942,182.0,1,11,349.4977,131.643,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0
